S.No,Name,Ticker,CMP Rs.,Vol 1d,ROCE %
233.,IDBI Bank,IDBI,95.35,6280343,6.78
234.,Niva Bupa Health,NIVABUPA,82.50,3255247,6.75
235.,S A I L,SAIL,137.00,14447527,6.72
236.,Union Bank (I),UNIONBANK,146.00,13546552,6.72
237.,Orient Green,GREENPOWER,14.52,3537762,6.65
238.,HDFC Life Insur.,HDFCLIFE,772.30,4450466,6.58
239.,Lloyds Enterpris,LLOYDSENT,80.40,2617305,6.56
240.,PC Jeweller,PCJEWELLER,15.49,130500389,6.53
241.,DLF,DLF,845.35,2635750,6.51
242.,South Ind.Bank,SOUTHBANK,29.29,11689588,6.50
243.,IndusInd Bank,INDUSINDBK,844.00,7865402,6.49
244.,JSW Energy,JSWENERGY,536.65,2884793,6.49
245.,St Bk of India,SBIN,820.00,8025527,6.47
246.,Aarti Industries,AARTIIND,423.00,4012425,6.45
247.,Piramal Pharma,PPLPHARMA,212.50,5012963,6.45
248.,Devyani Intl.,DEVYANI,179.00,1850762,6.42
249.,Indian Bank,INDIANB,626.00,1574456,6.38
250.,Yes Bank,YESBANK,19.90,64476781,6.36
251.,Punjab Natl.Bank,PNB,111.00,18470395,6.32
252.,Bank of Baroda,BANKBARODA,238.00,7868161,6.29
253.,Biocon,BIOCON,390.60,2491078,6.25
254.,IDFC First Bank,IDFCFIRSTB,72.85,12927912,6.22
255.,Bank of India,BANKINDIA,113.15,4815528,6.17
256.,J & K Bank,J&KBANK,109.95,2636672,6.15
257.,Reliance Power,RPOWER,61.00,15120565,6.15
258.,Embassy Develop,EMBDL,124.00,3450639,6.07
259.,RBL Bank,RBLBANK,258.00,13302367,6.05
260.,Udaipur Cement,UDAICEMENT,38.00,2152124,6.04
261.,Pun. & Sind Bank,PSB,31.47,1929296,5.98
262.,I O B,IOB,39.00,5167326,5.95
263.,I R F C,IRFC,130.50,18286629,5.83
264.,UCO Bank,UCOBANK,31.20,7372746,5.76
265.,Bank of Maha,MAHABANK,56.38,6918972,5.72
266.,Central Bank,CENTRALBK,38.00,5842162,5.48
267.,Dhanlaxmi Bank,DHANBANK,29.00,4871651,5.47
268.,MIRC Electronics,MIRCELECTR,18.13,1382520,5.35
269.,Lords Chloro,LORDSCHLO,201.00,2010980,5.32
270.,SEPC,SEPC,12.79,13129147,5.31
271.,Jain Irrigation,JISLJALEQS,54.65,1994015,4.95
272.,SJVN,SJVN,98.00,4052851,4.87
273.,NTPC Green Ene.,NTPCGREEN,108.20,4250202,4.87
274.,Manali Petrochem,MANALIPETC,76.39,1539601,4.83
275.,Rain Industries,RAIN,142.00,1027650,4.50
276.,B H E L,BHEL,252.50,3561715,4.46
277.,M R P L,MRPL,146.00,11801162,4.33
278.,C P C L,CHENNPETRO,790.00,3198149,4.30
279.,Super Spinning,SUPERSPIN,10.90,1161400,4.19
280.,Tata Chemicals,TATACHEM,970.00,1208144,3.96
281.,Nuvoco Vistas,NUVOCO,405.00,1251579,3.93
282.,TGB Banquets,TGBHOTELS,13.18,1168333,3.91
